City,Venue,Venue Category
Afyonkarahisar,Söz Market Kanlica,Food & Drink Shop
Afyonkarahisar,Numan Usta,Doner Restaurant
Afyonkarahisar,Güven Simit Sarayı,Bagel Shop
Afyonkarahisar,Köfteci İrfan,Kofte Place
Afyonkarahisar,Starbucks,Coffee Shop
Afyonkarahisar,Aftat,Dessert Shop
Afyonkarahisar,Burger Künefe,Dessert Shop
Afyonkarahisar,Club Lotis & Fitness Center,Gym / Fitness Center
Afyonkarahisar,HUKA -Hookah-Coffee-Tea-Snack-,Café
Afyonkarahisar,Sahipata,Botanical Garden
Afyonkarahisar,Sporium,Gym
Afyonkarahisar,Bacca Bubble Lounge,Café
Afyonkarahisar,Nur Lokantasi,Restaurant
Afyonkarahisar,LOQQUM Lounge Bistro Hookah,Hookah Bar
Afyonkarahisar,Taş Medrese Külliye Çay Evi,Tea Room
Afyonkarahisar,fitpoint kadınlara özel pilates & fitness salonu,Gym / Fitness Center
Afyonkarahisar,Park Afyon Teras,Food Court
Afyonkarahisar,Uzun Çarşı,Plaza
Afyonkarahisar,Guru Kahve,Café
Afyonkarahisar,Pınar Pide Salonu,Bakery
Afyonkarahisar,Yeşilyol,Other Great Outdoors
Afyonkarahisar,Afyon Kent Ormanı,Forest
Afyonkarahisar,Fazilet Lokantasi,Soup Place
Afyonkarahisar,Afyon Lokum Atölyesi,Dessert Shop
Afyonkarahisar,Yeni Angara Kokoreç,Food Truck
Afyonkarahisar,Leman Kültür,Café
Afyonkarahisar,Doğa Gurme Et Şiş,Steakhouse
Afyonkarahisar,Soulmate Coffee & Bakery,Coffee Shop
Afyonkarahisar,Larissa Restorant,Restaurant
Afyonkarahisar,Söz (Yeni Fatih),Convenience Store
Afyonkarahisar,Yeşil Yaprak Tekstil 1.şube,Lingerie Store
Afyonkarahisar,Gülyurt Cafe & Bistro,Café
Afyonkarahisar,Altınay Lokum & Cumhuriyet Sucuk Evi,Candy Store
Afyonkarahisar,Fsm Fitness Center,Stadium
Afyonkarahisar,Akarçay,Park
Afyonkarahisar,Ciğerci Cafer Usta,Food Court
Afyonkarahisar,Fatih Pazar Yeri,Market
Afyonkarahisar,Afyon Ekmek Evi,Bakery
Afyonkarahisar,Afyon Kocatepe Zafer Yolu,Mountain
Afyonkarahisar,Tarihi Kadınana Konağı,Café
Afyonkarahisar,Fuar Hobi Bahçesi,Garden
Afyonkarahisar,Peron Coffee & Food,Café
Afyonkarahisar,Fokurtu Green Mile,Café
Afyonkarahisar,Bim Market,Grocery Store
Afyonkarahisar,Hidayet Abi'nin Yeri,Dessert Shop
Afyonkarahisar,İmaret Cami Parkı,Park
Afyonkarahisar,Havuzlu Bahçe,Garden
Afyonkarahisar,Ada Ahşap Mozaik,Arts & Crafts Store
Afyonkarahisar,Nirvana Playstation,Arcade
Afyonkarahisar,Alkan Şekerleme,Candy Store
Afyonkarahisar,Karahisar Atıs Poligonu,Gun Range
Afyonkarahisar,Tavuk Dünyası,Fried Chicken Joint
Afyonkarahisar,Tez Akvaryum & Pet Shop,Pet Store
Afyonkarahisar,Kahve Dünyası,Coffee Shop
Afyonkarahisar,Sultan Divani Mevlevihane Müzesi,History Museum
Afyonkarahisar,Tarihi Han Dönercisi,Doner Restaurant
Afyonkarahisar,Cafe Paris Bistro,Café
Afyonkarahisar,Öztürk Şekerleme Sarayı,Dessert Shop
Afyonkarahisar,Akarçay Yürüyüş Yolu,National Park
Afyonkarahisar,Pilates & Pilates,Gym / Fitness Center
Afyonkarahisar,Aksehirli mehmet usta pide,Bakery
Afyonkarahisar,Bizim Toptan Satış Market,Shopping Mall
Afyonkarahisar,Afyon Orduevi,Boarding House
Afyonkarahisar,Otantik Coffee & Food,Café
Afyonkarahisar,Keltepe,Scenic Lookout
Afyonkarahisar,Gümüştaş Pide Salonu,Pide Place
Ağrı,Kavurmacı Hikmet Usta,Steakhouse
Ağrı,Taşlıçay Kavurma,Asian Restaurant
Ağrı,ozdemir dinlenme tesisi,Diner
Ağrı,Diyarbakır Pastanesi,Bagel Shop
Ağrı,Kaya İletişim,Mobile Phone Shop
Ağrı,Toklucak Köyü,Bay
Ağrı,Memişin Çeşmesi,Juice Bar
Ağrı,Bayrak Tepe,Park
Ağrı,Meşhur Balıkcı Köroğlu,Seafood Restaurant
Ağrı,Bayrak Tepe,Park
Ağrı,türkiye iran sınır kapısı,Toll Booth
Ağrı,Ağrı Shato,Bistro
Ağrı,Mırazlar,Recreation Center
Ağrı,Ziro Yaylası,Mountain
Amasya,Toprak Türkü Evi,Café
Amasya,Amasis Spor Merkezi,Gym / Fitness Center
Amasya,Armoni Cafe Bistro,Café
Amasya,Sultan II. Bayezid Camii ve Külliyesi,Mosque
Amasya,Café TRIO,Lounge
Amasya,Anadolu Mantı Evi,Comfort Food Restaurant
Amasya,Kehribar Cafe&Nargile,Café
Amasya,KOTİN PİLAV,Food Stand
Amasya,hakimiyet go kart,Go Kart Track
Amasya,Mountain Coffee & Bakery,Café
Amasya,Şehzadeler Gezi Yolu,Trail
Amasya,Amasya Arkeoloji Müzesi,History Museum
Amasya,Başkent Aspava,Kebab Restaurant
Amasya,Amasis Restaurant & Cafe,Turkish Restaurant
Amasya,Şehzade Pastanesi,Dessert Shop
Amasya,Uluhan Otel & Restaurant,Hotel
Amasya,Amasya Kalesi,Castle
Amasya,Pideci İsa(Yeni Özlem),Pide Place
Amasya,Foto Renk,Photography Studio
Amasya,İstanbul Simit Fırını,Bagel Shop
Amasya,OTOPRATİK,Auto Garage
Amasya,Ramis Usta Damak Dondurma,Ice Cream Shop
Amasya,Hatunca Butik Otel ve Restaurant,Hostel
Amasya,KEHRİBAR OTEL CAFE RESTAURANT,Hotel
Amasya,Sarı Konak Boutique & SPA Hotel,Hotel
Amasya,Kral Kaya Otel & Cafe,Hotel
Amasya,Emin Efendi Konakları,Hotel
Amasya,Ruby Otel & Restaurant,Nightclub
Amasya,Çakallar,Other Great Outdoors
Amasya,Kök Cağ Kebap,Comfort Food Restaurant
Amasya,Final Halısaha,Soccer Field
Amasya,Fabrika Lounge,Café
Amasya,Yeşilırmak Kenarı,River
Amasya,Amasya Avukat Evi,Historic Site
Amasya,Ziyabey Konağı,Hotel
Amasya,Yamaç Bistro,Café
Amasya,Çifte Konak,Hotel
Amasya,Sabuncuoğlu Tıp ve Cerrahi Müzesi,Science Museum
Amasya,Armin Otel,Hotel
Amasya,Dolphin Cafe&Pastane 2,Café
Amasya,Amasya Minyatür Müzesi,History Museum
Amasya,Galip Amasya Çörekçisi,Bakery
Amasya,Bazlama İstasyonu Amasya,Fast Food Restaurant
Amasya,Bahçeleriçi Irmak Kenarı,Pedestrian Plaza
Amasya,Ziyafet Pide & Kahvaltı Kalonu,Pide Place
Amasya,Kahveland,Coffee Shop
Amasya,İtimat Balık Restaurant,Fish & Chips Shop
Amasya,Anıt Meydanı,Plaza
Amasya,Avukatlar Konağı,Turkish Restaurant
Amasya,Gaziantepli Yılmaz Usta Kebap Salonu,Kebab Restaurant
Amasya,Ferhat ile Şirin Aşıklar Müzesi,History Museum
Amasya,Kral Kaya Mezarları,Historic Site
Amasya,Ali Kaya Üstad Restaurant,Turkish Home Cooking Restaurant
Amasya,Yemen Kahvesi,Coffee Shop
Amasya,Amasya Meydanı,Plaza
Amasya,Pulp Pub,Pub
Amasya,Simre Otel,Bed & Breakfast
Amasya,Eczane Başak,Pharmacy
Amasya,Melekli Konak,Bed & Breakfast
Amasya,Bay Star Kokoreç & Kumpir,Kokoreç Restaurant
Amasya,Hacılar Meydanı,Plaza
Amasya,Hazeranlar Konağı,History Museum
Amasya,Sokak Pub,Pub
Amasya,Madenoğulları Pide,Comfort Food Restaurant
Amasya,Taşhan Otel,Hotel
Amasya,Arena Spor Kulubü,Gym
Amasya,Bayramefendi Osmanlı Kahvecisi,Coffee Shop
Amasya,Maximum Burger & Döner,Burger Joint
Amasya,Neyyire Artizan Lezzetler,Breakfast Spot
Amasya,"A.Toprak Pide, Pizza Ve Kebap Salonu",Restaurant
Amasya,Grand Paşa Otel,Hotel
Amasya,Konak Cafe & Restaurant,Café
Amasya,Çamlık Cafe,Café
Amasya,Pastacım Cafe&Pastane,Café
Amasya,İltekin Gazi Parkı,Park
Amasya,Coffee Bonus,Coffee Shop
Amasya,Cafee Reunion,Café
Amasya,Bellona,Furniture / Home Store
Amasya,Pasha,Bar
Amasya,Esentepe,Breakfast Spot
Amasya,Yesil Ev 5,Restaurant
Amasya,The Apple Palace Gym Sports Center,Gym
Amasya,Kahve Diyarı,Coffee Shop
Amasya,The Apple Palace Mai Restaurant,Restaurant
Amasya,Tadım Adana Ocakbasi,Turkish Restaurant
Amasya,Lalehan Otel,Hotel
Amasya,Saraçhane Camii,Mosque
Amasya,Amasya Kapalı Yüzme Havuzu,Pool
Amasya,Bayezid Han Otel,Hotel
Amasya,Uluhan Otel,Hostel
Amasya,Pera Cafe&Bistro,Café
Amasya,Mado,Ice Cream Shop
Amasya,Amasya Öğretmen Evi,Boarding House
Amasya,Beyoğlu Otel & Restaurant,Turkish Restaurant
Amasya,Saray Katmer Künefe,Café
Amasya,Vadi Park,Restaurant
Amasya,Amasya Evleri Helkis Butik Otel ve Yemekleri,Asian Restaurant
Amasya,Amaseia Mutfağı,Turkish Restaurant
Amasya,Halkmar Süpermarket,Shopping Mall
Amasya,Grand Ottoman Hurrem Sultan Salonu,Concert Hall
Ankara,Capital Country Club,Other Great Outdoors
Ankara,Aydora Wedding Garden & Cafe,Wedding Hall
Ankara,Velihimmetli Köyü,Farm
Ankara,Dost K9 Kopek Egitim Okulu,Dog Run
Ankara,Çetin İşletmeleri - Onur Taahhüt,Office
Ankara,Lilyum Restaurant & Kır Düğünü,Breakfast Spot
Ankara,Müze Evliyagil,Art Museum
Ankara,İnncir,Turkish Restaurant
Ankara,Günay Ankara,Restaurant
Ankara,Lezzet Park Kuzu&Kaburga,BBQ Joint
Ankara,Hava Kuvvetleri Komutanlığı Gölbaşı Tesisleri,Recreation Center
Ankara,Loft Enjoy,Restaurant
Ankara,Çınar Kasrı,Restaurant
Ankara,Erzincan Mandıra,Grocery Store
Ankara,Agapi,Seafood Restaurant
Ankara,Dago Kaptanın Bahçesi,Café
Ankara,Şekerciler,Shopping Mall
Ankara,Cafe Ferah,Café
Ankara,İncek Westa Garden,Food Court
Ankara,Çağdaş İncek,Supermarket
Ankara,Vercenik,Turkish Restaurant
Ankara,Mama Gusto,Restaurant
Ankara,Toros Dondurma,Ice Cream Shop
Ankara,Fevziye Köyü,Farm
Ankara,İdilya Türk ve Tatar Mutfağı,Comfort Food Restaurant
Ankara,Baba Dee's  Coffee - Kitchen - Game,Café
Ankara,Çengel Cafe,Café
Ankara,Cafe Hamlakit,Breakfast Spot
Ankara,Hamlakit Restaurant,Turkish Restaurant
Ankara,Paşa Cağ Kebap,Turkish Restaurant
Ankara,Aksu Cag Kebab,Middle Eastern Restaurant
Ankara,Bull Choppers,Bike Shop
Ankara,Sportofit Doğa Kulüp,Performing Arts Venue
Ankara,Atom Karınca Motosiklet Kulübü,Motorcycle Shop
Ankara,Arabica Coffee House,Coffee Shop
Ankara,Zoka Balık,Seafood Restaurant
Ankara,Oğulbey Köyü,Farm
Ankara,Tostçu Erdal (Gurbet Bakkaliyesi),Sandwich Place
Ankara,Sadeet,Restaurant
Ankara,Gölbaşı Şehir Parkı,Park
Ankara,Kolej-in,Gym / Fitness Center
Ankara,Doka Çifliği,Farm
Ankara,Sini Börek,Bakery
Ankara,Kalıpçıoğlu At Çiftliği,Farm
Ankara,Enes Et Mangal,Steakhouse
Ankara,GOLBASİ CİFTLİK EVİ,Farm
Ankara,felicita coffee&bakery,Bakery
Ankara,Büyükhanlı Villaları İncek,Farm
Ankara,Park Eymir Yürüyüş Parkuru,Athletics & Sports
Ankara,Club Mirador,Pool
Ankara,Etlerefönçekenadam/ Mobil-Et,Kebab Restaurant
Ankara,Eymir Ormanı,Trail
Ankara,Cennet Bahçesi,Farm
Ankara,Ahlatlıbel Tesisleri,Other Great Outdoors
Ankara,Alfonso Enjoy,Café
Ankara,Mira Büfe,Smoke Shop
Ankara,Salata Retro,Nightclub
Ankara,ODTÜ Ormanı,Forest
Ankara,Çağdaş Market Beytepe,Supermarket
Ankara,Et Keyfi Kasap & Şarküteri,Butcher
Ankara,Poadas,Café
Ankara,19 Fit Pilates & GYM,Gym / Fitness Center
Ankara,Yoga House,Yoga Studio
Ankara,Ahlatlıbel Tepe,Scenic Lookout
Ankara,Dab Poligon,Gun Range
Ankara,Bilkent 3 Manzara,Scenic Lookout
Ankara,Çağdaş Market Alacaatlı Şube,Grocery Store
Ankara,Müzik ve Sahne Sanatları Fakültesi,College Arts Building
Ankara,Vivo Bilim Sanat Merkezi,Music Venue
Ankara,Bilkent Tepe,Scenic Lookout
Ankara,Comepany,Coffee Shop
Ankara,Anka Fırın,Café
Ankara,MantıVilla,Manti Place
Ankara,Doğa Park,Food Court
Ankara,Çağdaş Market,Convenience Store
Ankara,Bilkent Konser Salonu,Concert Hall
Ankara,Valle Cafe,Bakery
Ankara,Yeşil Vadi,Forest
Ankara,Quick China,Chinese Restaurant
Ankara,Starbucks,Coffee Shop
Ankara,Base Life Club Kapalı Havuz,Gym Pool
Ankara,Adem Cafe&Bistro,BBQ Joint
Ankara,KAMPÇI Kahvaltı•Yemek•Cafe,Breakfast Spot
Ankara,Ankara Sanat Galerisi,Art Gallery
Ankara,Base Life Club Açık Havuz,Gym Pool
Ankara,Erzincan Mandıra,Gourmet Shop
Ankara,Meşhur Merkezefendi Köftecisi,Restaurant
Ankara,Park Caddesi Yürüyüş Yolu,Trail
Ankara,Salkım,Restaurant
Ankara,Fitown Training,Gym / Fitness Center
Ankara,Arkadaş Kitabevi,Bookstore
Ankara,Oran Ormanı,Other Great Outdoors
Ankara,Gelatiamo,Ice Cream Shop
Ankara,Balıkçıköy Fahri,Seafood Restaurant
Ankara,Salute,Entertainment Service
Ankara,Petgross Alacaatlı,Pet Store
Ankara,Arkabahçe (Parlar Cafe),College Cafeteria
Ankara,Bilkent Odeon,Performing Arts Venue
Ankara,Vela Balık,Seafood Restaurant
Ankara,ce's house,Bakery
Antalya,Olimpiyat Motor,Motorcycle Shop
Antalya,Antalya Devlet Tiyatrosu,Theater
Antalya,Antalya Devlet Opera ve Balesi,Opera House
Antalya,Piyazcı Hüseyin,Turkish Restaurant
Antalya,DoubleTree by Hilton,Hotel
Antalya,Muratpaşa Camii,Mosque
Antalya,Erdoğan Boncuk,Arts & Crafts Store
Antalya,4X4 Sport Center,Gym
Antalya,Laura AVM,Department Store
Antalya,Antalya Kartal Yuvası,Clothing Store
Antalya,MACFit,Gym / Fitness Center
Antalya,Kaleiçi,Historic Site
Antalya,Erdeç Köfte Piyaz,Food
Antalya,Konyaaltı Caddesi Yürüyüş Yolu,Pedestrian Plaza
Antalya,Şımarık Aksesuar & Bay Şapkacı,Miscellaneous Shop
Antalya,Saat Kulesi,Monument / Landmark
Antalya,Üç kapılar,Nightclub
Antalya,Künefe Şöleni Antalya,Dessert Shop
Antalya,Antalya Hayvan Hastanesi,Veterinarian
Antalya,Starbucks,Coffee Shop
Antalya,Atatürk Parkı,Park
Antalya,The Queen Pub,Bar
Antalya,Antalya Arkeoloji Müzesi,Museum
Antalya,TUĞBA KURUYEMİŞ GÜLLÜK ŞUBESİ,Coffee Shop
Antalya,Gem's Fitness Center,Gym / Fitness Center
Antalya,Kayıp Bar,Bar
Antalya,Üçkapılar,Historic Site
Antalya,Soydance,Clothing Store
Antalya,Pio Gastro Bar & Bistro,Restaurant
Antalya,Dark Angel Club,Nightclub
